Name	Feature	UTM_X	UTM_Y	Lat	Lon	row	col
VelinoCluster189	Cluster	336875	4705375	42.48354921	13.01524872	78	106
VelinoCluster190	Cluster	342375	4655625	42.03687676	13.09565842	277	128
VelinoCluster191	Cluster	380625	4664125	42.12014476	13.55587562	243	281
VelinoCluster192	Cluster	391375	4629625	41.81105728	13.69225732	381	324
VelinoCluster193	Cluster	343875	4658375	42.06193062	13.11303833	266	134
VelinoCluster194	Cluster	326125	4696875	42.40471165	12.88710997	112	63
VelinoCluster195	Cluster	336375	4682625	42.27867921	13.01562954	169	104
VelinoCluster196	Cluster	350375	4679875	42.25673619	13.18603893	180	160
VelinoCluster197	Cluster	348125	4719125	42.60960264	13.14840092	23	151
VelinoCluster198	Cluster	333875	4696875	42.40640839	12.98122814	112	94
VelinoCluster199	Cluster	340875	4674125	42.20310035	13.07250401	203	122
VelinoCluster200	Cluster	386125	4637875	41.88460609	13.62748215	348	303
VelinoCluster201	Cluster	357125	4680375	42.26250214	13.26771141	178	187
VelinoCluster202	Cluster	313125	4708125	42.5029293	12.72559132	67	11
VelinoCluster203	Cluster	322125	4687625	42.32055863	12.8413889	149	47
VelinoCluster204	Cluster	322375	4712875	42.54785495	12.83661561	48	48
VelinoCluster205	Cluster	329375	4666625	42.13317169	12.93548523	233	76
VelinoCluster206	Cluster	339625	4698875	42.42561894	13.05050519	104	117
VelinoCluster207	Cluster	364625	4669875	42.16931177	13.36105471	220	217
VelinoCluster208	Cluster	356375	4652625	42.01255064	13.26545483	289	184
VelinoCluster209	Cluster	355875	4672125	42.18800476	13.25461009	211	182
VelinoCluster210	Cluster	313375	4691375	42.3522577	12.73406967	134	12
VelinoCluster211	Cluster	349125	4695875	42.40052022	13.16671343	116	155
VelinoCluster212	Cluster	342125	4685875	42.30911817	13.08443788	156	127
VelinoCluster213	Cluster	329625	4706375	42.49098808	12.92679519	74	77
VelinoCluster214	Cluster	356625	4648125	41.97208469	13.26957068	307	185
VelinoCluster215	Cluster	343625	4651625	42.00111934	13.11181815	293	133
VelinoCluster216	Cluster	341875	4703875	42.47108513	13.07646384	84	126
VelinoCluster217	Cluster	313875	4707625	42.49861063	12.73487493	69	14
VelinoCluster218	Cluster	346875	4652875	42.01301047	13.15071501	288	146
VelinoCluster219	Cluster	341875	4712375	42.54759171	13.07411576	50	126
VelinoCluster220	Cluster	338625	4703625	42.4681648	13.03702138	85	113
VelinoCluster221	Cluster	349375	4671375	42.180029	13.17612538	214	156
VelinoCluster222	Cluster	346375	4661125	42.08717832	13.14251648	255	144
VelinoCluster223	Cluster	374125	4642375	41.92330314	13.48193496	330	255
VelinoCluster224	Cluster	343375	4677375	42.23285957	13.10189431	190	132
VelinoCluster225	Cluster	339875	4672875	42.19164473	13.06074178	208	118
VelinoCluster226	Cluster	354375	4670875	42.17647436	13.23676577	216	176
VelinoCluster227	Cluster	336125	4688375	42.33038106	13.01097034	146	103
VelinoCluster228	Cluster	348375	4688625	42.3351138	13.15951141	145	152
VelinoCluster229	Cluster	390875	4653625	42.02709456	13.68179856	285	322
VelinoCluster230	Cluster	331375	4666625	42.13360447	12.95966973	233	84
VelinoCluster231	Cluster	367875	4658125	42.06408213	13.40304524	267	230
VelinoCluster232	Cluster	318125	4696875	42.4028792	12.78996445	112	31
VelinoCluster233	Cluster	355625	4678375	42.24422193	13.25003077	186	181
VelinoCluster234	Cluster	346375	4711125	42.53724833	13.12923075	55	144
VelinoCluster235	Cluster	371875	4663625	42.11426235	13.45016949	245	246
VelinoCluster236	Cluster	386125	4654375	42.03317435	13.62428983	282	303
VelinoCluster237	Cluster	350125	4677125	42.23193342	13.18371997	191	159
VelinoCluster238	Cluster	322375	4691875	42.35886459	12.84311328	132	48
VelinoCluster239	Cluster	382375	4639875	41.90206522	13.58189876	340	288
VelinoCluster240	Cluster	329125	4698875	42.42337779	12.92294771	104	75
VelinoCluster241	Cluster	378625	4652875	42.01854724	13.5340214	288	273
VelinoCluster242	Cluster	329875	4675125	42.20978518	12.93904813	199	78
VelinoCluster243	Cluster	395375	4650375	41.99844144	13.73672363	298	340
VelinoCluster244	Cluster	354125	4663375	42.10891161	13.23561624	246	175
VelinoCluster245	Cluster	321375	4708375	42.5071274	12.8258501	66	44
VelinoCluster246	Cluster	324625	4704625	42.47412222	12.86652862	81	57
VelinoCluster247	Cluster	383375	4646875	41.96524182	13.59256612	312	292
VelinoCluster248	Cluster	359375	4656375	42.04685227	13.30077085	274	196
VelinoCluster249	Cluster	344375	4667875	42.14754532	13.11654801	228	136
VelinoCluster250	Cluster	341625	4663625	42.10873822	13.08443731	245	125
VelinoCluster251	Cluster	349375	4718875	42.60759761	13.16369889	24	156
VelinoCluster252	Cluster	351125	4709625	42.5246759	13.18743586	61	163
VelinoCluster253	Cluster	394125	4652875	42.02078538	13.72118347	288	335
VelinoCluster254	Cluster	347875	4694125	42.384524	13.15199462	123	150
VelinoCluster255	Cluster	316125	4692875	42.36641142	12.76695619	128	23
VelinoCluster256	Cluster	371625	4662375	42.10296749	13.44742121	250	245
VelinoCluster257	Cluster	340125	4684375	42.29520878	13.06059902	162	119
VelinoCluster258	Cluster	394875	4644375	41.94434785	13.73176023	322	338
VelinoCluster259	Cluster	315375	4710875	42.52821636	12.75206769	56	20
VelinoCluster260	Cluster	324125	4687125	42.3165129	12.86579571	151	55
VelinoCluster261	Cluster	357875	4671375	42.18161893	13.27900311	214	190
VelinoCluster262	Cluster	353125	4714125	42.56556474	13.21061758	43	171
VelinoCluster263	Cluster	390875	4645125	41.95055801	13.68337689	319	322
VelinoCluster264	Cluster	352875	4665625	42.12893297	13.21993734	237	170
VelinoCluster265	Cluster	376125	4645125	41.94837963	13.50546909	319	263
VelinoCluster266	Cluster	327875	4701625	42.44785144	12.90693948	93	70
VelinoCluster267	Cluster	341125	4657125	42.05012755	13.08015815	271	123
VelinoCluster268	Cluster	335375	4692625	42.36847549	13.00066022	129	100
VelinoCluster269	Cluster	385875	4657625	42.06240104	13.62063744	269	302
VelinoCluster270	Cluster	355125	4681125	42.26888489	13.24328588	175	179
VelinoCluster271	Cluster	379375	4655375	42.04117182	13.54256294	278	276
VelinoCluster272	Cluster	361375	4656625	42.04945815	13.32486846	273	204
VelinoCluster273	Cluster	319875	4707625	42.50003022	12.80784158	69	38
VelinoCluster274	Cluster	356375	4658625	42.06656544	13.26398481	265	184
VelinoCluster275	Cluster	336375	4661125	42.08515802	13.02167385	255	104
