var	variable	unit	temporal_resolution	per_soil_layer
Smelt	Snow melt	[mm/h]	hourly	FALSE
SND	Snow Depth	[m]	hourly	FALSE
SP.wc	Snowpack water content	[mm]	hourly	FALSE
Sr.H	Fine Root Turnover Rate High Vegetation	[gC / m2 PFT day]	daily	FALSE
Sr.L	Fine Root Turnover Rate Low Vegetation	[gC / m2 PFT day]	daily	FALSE
SSN	Snow Sublimation	[mm/h]	hourly	FALSE
SWE	Ground snowpack Snow Water Equivalent	[mm]	hourly	FALSE
T.H	Transpir. High Veg.	[mm/h]	hourly	FALSE
T.L	Transpir. Low Veg.	[mm/h]	hourly	FALSE
t_sls	Time since last snowfall	[h]	hourly	FALSE
Ta	Air Temperature	[°C]	hourly	FALSE
tau_sno	Relative Age of Snow	[-]	hourly	FALSE
Tdamp	Soil/snow Temp. at Dampening depth	[°C]	hourly	FALSE
Tdeb	Temperature of the Debris Layer	[°C]	hourly	FALSE
Tdew	Dew point Temp.	[°C]	hourly	FALSE
Tdp	Soil Temp. of the layer	[°C]	hourly	TRUE
Tdp.H	Soil Temperature of the Root Zone High Vegetation	[°C]	hourly	FALSE
Tdp.L	Soil Temperature of the Root Zone Low Vegetation	[°C]	hourly	FALSE
TexC.H	Plant Carbon Export to Litter High Vegetation	[gC / m2 PFT day]	daily	FALSE
TexC.L	Plant Carbon Export to Litter Low Vegetation	[gC / m2 PFT day]	daily	FALSE
TexK.H	Plant Potassium Export to Litter High Vegetation	[gK / m2 PFT day]	daily	FALSE
TexK.L	Plant Potassium Export to Litter Low Vegetation	[gK / m2 PFT day]	daily	FALSE
TexN.H	Plant Nitrogen Export to Litter High Vegetation	[gN / m2 PFT day]	daily	FALSE
TexN.L	Plant Nitrogen Export to Litter Low Vegetation	[gN / m2 PFT day]	daily	FALSE
TexP.H	Plant Phosphorus Export to Litter High Vegetation	[gP / m2 PFT day]	daily	FALSE
TexP.L	Plant Phosphorus Export to Litter Low Vegetation	[gP / m2 PFT day]	daily	FALSE
Tice	Ice Temperature	[°C]	hourly	FALSE
TNIT.H	Total Structural Nitrogen High Vegetation	[gN / m2 PFT day]	daily	FALSE
TNIT.L	Total Structural Nitrogen Low Vegetation	[gN / m2 PFT day]	daily	FALSE
TPHO.H	Total Structural Phosphorus High Vegetation	[gP / m2 PFT day]	daily	FALSE
TPHO.L	Total Structural Phosphorus Low Vegetation	[gP / m2 PFT day]	daily	FALSE
TPOT.H	Total Structural Potassium High Vegetation	[gK / m2 PFT day]	daily	FALSE
TPOT.L	Total Structural Potassium Low Vegetation	[gK / m2 PFT day]	daily	FALSE
Ts	Surface temperature	[°C]	hourly	FALSE
TsV	Vegetation Temperature in the presence of snow	[°C]	hourly	FALSE
U.SWE	Unloaded snow water eq. from interc. snow	[mm]	hourly	FALSE
V	Volume of liquid water stored in the soil	[mm]	hourly	TRUE
Vice	Volume of frozen water stored in the soil	[mm]	hourly	TRUE
WAT	Vol. of ponded water	[mm]	hourly	FALSE
WIS	Water flux incoming to the soil	[mm]	hourly	FALSE
WR.IP	Water released from the ice pack	[mm/h]	hourly	FALSE
WR.SP	Water released from the snow pack	[mm/h]	hourly	FALSE
Ws	Wind Speed	[m/s]	hourly	FALSE
Ws.under	Wind Speed in the under-canopy	[m/s]	hourly	FALSE
ZWT	Water table depth	[mm]	hourly	FALSE
