Name,LAT,LON,ELEV,hDebris,Var6,Var7,Var8,Station,Lat___,Lon___,Elevation_m_,VariableMeasured,RecordingSince,LON_UTM,LAT_UTM,ID,Elevation,Slope,Aspect,COL,ROW,idx
Cluster_99,39.1147108150361,71.4948314908526,0,0,0,0,0,,0,0,0,,,715696.6305,4332469.9468,132,3151.39749315547,0.268184110682498,2.31588771819699,85,128,18356
Cluster_100,39.1338879731688,71.4827836272387,0,0,0,0,0,,0,0,0,,,714596.6305,4334569.9468,133,3193.36169767706,0.478741883532393,1.49922826654325,74,149,15990
Cluster_101,39.0995104744979,71.4468893572975,0,0,0,0,0,,0,0,0,,,711596.6305,4330669.9468,134,3632.07838131186,0.287023490358541,2.80711144851502,44,110,9441
Cluster_102,39.0924292371961,71.4408638195341,0,0,0,0,0,,0,0,0,,,711096.6305,4329869.9468,135,4070.79506494666,0.510879648862113,2.02115348000617,39,102,8348
Cluster_103,39.1650123643924,71.4595744500827,0,0,0,0,0,,0,0,0,,,712496.6305,4337969.9468,136,3082.72879484742,0.271508707095917,1.17993284183653,53,183,11467
Cluster_104,39.1440714316234,71.5120657787074,0,0,0,0,0,,0,0,0,,,717096.6305,4335769.9468,137,2792.79429088007,0.547450209409727,3.5378067473631,99,161,21427
Cluster_105,39.1845980174839,71.4706760674896,0,0,0,0,0,,0,0,0,,,713396.6305,4340169.9468,138,3292.54981745536,0.38565318395665,0.0685391519919678,62,205,13442
Cluster_106,39.0978771635665,71.4815194195554,0,0,0,0,0,,0,0,0,,,714596.6305,4330569.9468,139,3601.55895984161,0.72919481334332,1.99045199686129,74,109,15950
Cluster_107,39.1385621096769,71.4320448936162,0,0,0,0,0,,0,0,0,,,710196.6305,4334969.9468,140,3273.47517903646,0.161797025453077,1.12467017217575,30,153,6446
Cluster_108,39.0908218523084,71.4315595156105,0,0,0,0,0,,0,0,0,,,710296.6305,4329669.9468,141,3880.04868075761,0.510879648862113,4.96235556528541,31,100,6610
Cluster_109,39.1550238102144,71.5055125329026,0,0,0,0,0,,0,0,0,,,716496.6305,4336969.9468,142,2838.57342308544,0.415574551677424,1.48080737665632,93,173,20137
Cluster_110,39.1171997882983,71.4625364167343,0,0,0,0,0,,0,0,0,,,712896.6305,4332669.9468,143,3380.29315418232,0.173987212302282,4.15797670688963,57,130,12282
Cluster_111,39.0884572669677,71.4152932749643,0,0,0,0,0,,0,0,0,,,708896.6305,4329369.9468,144,3681.67244120101,0.571830583108136,2.15624000584363,17,97,3569
Cluster_112,39.1478059715486,71.4207927513652,0,0,0,0,0,,0,0,0,,,709196.6305,4335969.9468,145,3567.22461068758,0.401167967219274,1.14923135869165,20,163,4286
Cluster_113,39.1124535633441,71.4739356877196,0,0,0,0,0,,0,0,0,,,713896.6305,4332169.9468,146,3452.77678017416,0.434413931353467,1.91676843731358,67,125,14447
Cluster_114,39.1316421506145,71.5035265122725,0,0,0,0,0,,0,0,0,,,716396.6305,4334369.9468,147,3143.76763778791,0.517528841688952,4.50797361474123,92,147,19894
Cluster_115,39.1644969588649,71.4838599855036,0,0,0,0,0,,0,0,0,,,714596.6305,4337969.9468,148,3048.39444569339,0.309187466448004,3.4886843743313,74,183,16024
Cluster_116,39.0454395314748,71.490080802606,0,0,0,0,0,,0,0,0,,,715496.6305,4324769.9468,149,3796.12027171444,0.271508707095917,1.56677152946198,83,51,17845
Cluster_117,39.1023292874223,71.4839881700079,0,0,0,0,0,,0,0,0,,,714796.6305,4331069.9468,150,3342.14387734451,0.366813804280606,1.68343716541251,76,114,16389
Cluster_118,39.0794301214312,71.4161412084279,0,0,0,0,0,,0,0,0,,,708996.6305,4328369.9468,151,3895.30839149274,0.562964992672351,1.65887597889661,18,87,3776
Cluster_119,39.1702672584374,71.4667020293047,0,0,0,0,0,,0,0,0,,,713096.6305,4338569.9468,152,2998.80038580424,0.156256031430711,2.10711763281182,59,189,12775
Cluster_120,39.1391476645914,71.4471047379865,0,0,0,0,0,,0,0,0,,,711496.6305,4335069.9468,153,3159.02734852303,0.115252675665206,2.13167881932772,43,154,9268
